,id_domicilio,id_zona,tipologia_domicilio,regime_ocupacao,quantidade_bicicletas,quantidade_motos,quantidade_moradores,quantidade_familias,fator_expansao,quantidade_automoveis,id_municipio
18774,8886,2042,Domicílio Isolado (casa),Própria paga,0,0,2,1,26.29,0,3106705
18775,8887,2042,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,26.29,0,3106705
18776,8888,2042,Domicílio Isolado (casa),Própria paga,2,0,4,1,26.29,1,3106705
18777,8889,2042,Domicílio Isolado (casa),Própria paga,0,0,5,1,26.29,0,3106705
18778,8890,2067,Domicílio Isolado (casa),Própria paga,0,1,7,1,6.4,0,3106705
18779,8891,2067,Domicílio Isolado (casa),Alugada,0,0,4,1,6.4,1,3106705
18780,8892,2067,Domicílio Isolado (casa),Própria paga,0,0,3,1,6.4,0,3106705
18781,8893,2067,Domicílio Isolado (casa),Própria paga,0,0,3,2,6.4,1,3106705
18782,8894,2067,Domicílio Isolado (casa),Própria paga,0,0,1,1,6.4,1,3106705
18783,8895,2024,Domicílio Isolado (casa),Própria paga,0,0,2,1,44.6,1,3106705
18784,8896,2024,Domicílio Isolado (casa),Própria paga,0,0,3,1,44.6,0,3106705
18785,8897,2024,Domicílio Isolado (casa),Cedida ou emprestada,1,0,2,1,44.6,0,3106705
18786,8898,2024,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,44.6,1,3106705
18787,8900,2024,Domicílio Isolado (casa),Própria paga,0,1,3,1,44.6,1,3106705
18788,8901,2033,"Domicílio rural (sítio, fazenda, chácara)",Própria paga,0,0,2,1,62.4,0,3106705
18789,8902,2033,Domicílio Isolado (casa),Alugada,1,0,4,1,62.4,1,3106705
18790,8903,2033,Domicílio Isolado (casa),Própria paga,0,0,3,1,62.4,0,3106705
18791,8905,2033,Domicílio Isolado (casa),Cedida ou emprestada,0,0,3,1,62.4,0,3106705
18792,8906,2033,Domicílio Isolado (casa),Própria paga,0,0,4,1,62.4,0,3106705
18793,8907,2033,Domicílio Isolado (casa),Própria paga,0,0,3,1,62.4,1,3106705
18794,8910,2045,Domicílio Isolado (casa),Própria em pagamento,0,0,3,1,29.7,0,3106705
18795,8911,2045,Domicílio Isolado (casa),Própria em pagamento,0,0,3,1,29.7,1,3106705
18796,8914,2012,Domicílio Isolado (casa),Própria paga,0,0,3,1,104.85,1,3106705
18797,8918,2012,Domicílio Isolado (casa),Própria paga,0,0,3,1,104.85,1,3106705
18798,8919,2012,Domicílio Isolado (casa),Própria paga,0,0,2,1,104.85,1,3106705
18799,8922,2012,Domicílio Isolado (casa),Cedida ou emprestada,0,0,6,1,104.85,0,3106705
18800,8926,2012,Domicílio Isolado (casa),Alugada,1,0,3,1,104.85,0,3106705
18801,8927,2012,Domicílio Isolado (casa),Própria paga,0,0,4,1,104.85,2,3106705
18802,8928,2073,Domicílio Isolado (casa),Própria paga,0,0,3,1,35.5,0,3106705
18803,8933,2073,Domicílio Isolado (casa),Própria paga,0,1,3,1,35.5,0,3106705
18804,8934,2073,Domicílio Isolado (casa),Própria paga,3,0,5,1,35.5,1,3106705
18805,8936,2042,Domicílio Isolado (casa),Própria paga,0,0,4,1,26.29,0,3106705
18806,8940,2042,Domicílio Isolado (casa),Própria paga,0,0,3,1,26.29,2,3106705
18807,8944,2024,Domicílio Isolado (casa),Própria paga,0,0,1,1,44.6,0,3106705
18808,8945,2024,Domicílio Isolado (casa),Própria paga,0,0,2,1,44.6,1,3106705
18809,8946,2024,Domicílio Isolado (casa),Própria paga,0,0,4,1,44.6,1,3106705
18810,8947,2024,Domicílio Isolado (casa),Cedida ou emprestada,0,0,5,1,44.6,1,3106705
18811,8948,2024,Domicílio Isolado (casa),Alugada,0,1,2,1,44.6,0,3106705
18812,8949,2024,Domicílio Isolado (casa),Própria paga,0,0,3,1,44.6,0,3106705
18813,8950,2051,Domicílio Isolado (casa),Própria paga,0,0,4,1,48.44,0,3106705
18814,8951,2051,Domicílio Isolado (casa),Própria paga,0,0,5,1,48.44,0,3106705
18815,8952,2051,Domicílio Isolado (casa),Própria paga,1,0,1,1,48.44,1,3106705
18816,8953,2051,Domicílio Isolado (casa),Alugada,0,0,3,1,48.44,0,3106705
18817,8954,2051,Domicílio Isolado (casa),Alugada,0,0,4,1,48.44,1,3106705
18818,8955,2051,Domicílio Isolado (casa),Própria paga,0,0,2,1,48.44,0,3106705
18819,8956,2051,Domicílio Isolado (casa),Própria paga,1,0,4,1,48.44,0,3106705
18820,8957,2051,Domicílio Isolado (casa),Alugada,0,0,6,1,48.44,0,3106705
18821,8958,2068,Domicílio Isolado (casa),Própria paga,0,0,4,1,25.96,1,3106705
18822,8959,2068,Domicílio Isolado (casa),Própria paga,0,0,5,1,25.96,1,3106705
18823,8960,2068,Domicílio Isolado (casa),Própria paga,0,0,4,1,25.96,1,3106705
18824,8961,2068,Domicílio Isolado (casa),Própria paga,0,0,2,1,25.96,0,3106705
18825,8963,2068,Domicílio Isolado (casa),Própria paga,0,0,3,1,25.96,0,3106705
18826,8964,2068,Domicílio Isolado (casa),Própria paga,0,0,2,1,25.96,2,3106705
18827,8971,2073,Domicílio Isolado (casa),Cedida ou emprestada,0,0,1,1,35.5,0,3106705
18828,8972,2007,Domicílio Isolado (casa),Própria paga,0,1,4,1,39.03,1,3106705
18829,8973,2073,Domicílio Isolado (casa),Própria paga,0,0,4,1,35.5,0,3106705
18830,8974,2007,Domicílio Isolado (casa),Própria paga,0,1,5,1,39.03,0,3106705
18831,8975,2071,Domicílio Isolado (casa),Própria paga,0,0,1,1,93.03,1,3106705
18832,8976,2073,Domicílio Isolado (casa),Própria paga,0,0,3,1,35.5,0,3106705
18833,8977,2073,Domicílio Isolado (casa),Cedida ou emprestada,1,0,9,1,35.5,0,3106705
18834,8978,2073,Domicílio Isolado (casa),Própria paga,0,0,2,1,35.5,1,3106705
18835,8979,2007,Domicílio Isolado (casa),Própria paga,1,0,4,1,39.03,1,3106705
18836,8980,2073,Domicílio Isolado (casa),Alugada,0,0,4,1,35.5,1,3106705
18837,8981,2073,Domicílio Isolado (casa),Própria paga,0,0,5,1,35.5,1,3106705
18838,8983,2073,Domicílio Isolado (casa),Alugada,1,0,1,1,35.5,0,3106705
18839,8984,2042,Domicílio Isolado (casa),Própria paga,1,0,5,1,26.29,1,3106705
18840,8985,2042,Domicílio Isolado (casa),Própria paga,0,0,3,1,26.29,1,3106705
18841,8986,2042,Domicílio Isolado (casa),Própria paga,0,0,2,1,26.29,0,3106705
18842,8987,2042,Domicílio Isolado (casa),Própria paga,0,0,3,1,26.29,0,3106705
18843,8988,2042,Domicílio Isolado (casa),Própria paga,0,0,3,1,26.29,0,3106705
18844,8989,2042,Domicílio Isolado (casa),Própria paga,0,0,4,1,26.29,1,3106705
18845,8990,2042,Domicílio Isolado (casa),Própria paga,1,0,5,1,26.29,0,3106705
18846,8991,2042,Domicílio Isolado (casa),Própria paga,0,0,1,1,26.29,0,3106705
18847,8992,2042,Domicílio Isolado (casa),Própria paga,1,0,1,1,26.29,0,3106705
18848,8994,2067,Domicílio Isolado (casa),Própria paga,0,0,5,1,6.4,1,3106705
18849,8995,2067,Domicílio Isolado (casa),Própria paga,0,0,5,1,6.4,0,3106705
18850,8996,2067,Domicílio Isolado (casa),Alugada,0,0,6,1,6.4,0,3106705
18851,8997,2073,Domicílio Isolado (casa),Própria em pagamento,0,0,3,1,35.5,0,3106705
18852,8998,2073,Domicílio Isolado (casa),Alugada,0,0,1,1,35.5,1,3106705
18853,8999,2067,"Domicílio rural (sítio, fazenda, chácara)",Própria paga,0,0,3,1,6.4,1,3106705
18854,9000,2050,Domicílio Isolado (casa),Própria paga,1,0,6,1,57.88,0,3106705
18855,9001,2050,Domicílio Isolado (casa),Própria paga,0,0,3,1,57.88,0,3106705
18856,9002,2050,Domicílio Isolado (casa),Própria paga,0,0,2,1,57.88,0,3106705
18857,9003,2033,Domicílio Isolado (casa),Própria paga,0,0,4,1,62.4,0,3106705
18858,9005,2033,Domicílio Isolado (casa),Própria paga,0,0,4,1,62.4,0,3106705
18859,9139,1505,Domicílio Isolado (casa),Própria paga,0,0,2,1,23.96,0,3106200
18860,9140,1505,Domicílio Isolado (casa),Própria paga,0,0,3,1,23.96,1,3106200
18861,9141,1505,Domicílio Isolado (casa),Alugada,0,0,3,1,23.96,0,3106200
18862,9142,1505,Domicílio Isolado (casa),Alugada,0,0,2,1,23.96,1,3106200
