stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_4_287,287,BARRIO DEL PUERTO,Avda de España 8,40.4225,-3.56919,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_287_708,287,Avda. España,Avda de España 8,40.4227,-3.56882,,http://www.crtm.es,2,est_4_287,,0
acc_4_287_709,287,Ascensor,Avda de España 8,40.42273,-3.56895,,http://www.crtm.es,2,est_4_287,,0
par_4_288,288,COSLADA CENTRAL,Calle del Doctor Fleming 41,40.42374,-3.56119,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_288_704,288,Correspondencia RENFE,Calle de Luis Braille SN,40.42382,-3.56117,,http://www.crtm.es,2,est_4_288,,0
acc_4_288_706,288,Ascensor RENFE,Calle de Luis Braille SN,40.42373,-3.56083,,http://www.crtm.es,2,est_4_288,,0
acc_4_288_707,288,Ascensor,Calle del Doctor Fleming SN,40.42355,-3.562,,http://www.crtm.es,2,est_4_288,,0
par_4_289,289,LA RAMBLA,Calle   Honduras 2,40.42514,-3.54792,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_289_701,289,Honduras,Calle  Honduras SN,40.42512,-3.54782,,http://www.crtm.es,2,est_4_289,,0
acc_4_289_702,289,Ascensor,Calle  Honduras SN,40.42519,-3.54798,,http://www.crtm.es,2,est_4_289,,0
par_4_290,290,SAN FERNANDO,Calle de Gonzalo de Córdoba 24,40.42441,-3.53541,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_290_699,290,Gonzalo de Córdoba,Calle de Gonzalo de Córdoba 24,40.42442,-3.53535,,http://www.crtm.es,2,est_4_290,,0
par_4_291,291,JARAMA,Plaza   Guernica 1,40.42295,-3.52549,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_291_697,291,Plaza de Guernica,Plaza  Guernica 1,40.42286,-3.52543,,http://www.crtm.es,2,est_4_291,,0
acc_4_291_698,291,Ascensor,Plaza  Guernica 1,40.42299,-3.52544,,http://www.crtm.es,2,est_4_291,,0
par_4_292,292,HENARES,Avda de Algorta 12,40.41777,-3.52718,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_292_695,292,Algorta,Avda de Algorta 12,40.41779,-3.52709,,http://www.crtm.es,2,est_4_292,,0
